fund_code,fund_name,category,mrar_3yr,mrar_5yr,combined_mrar,stars,percentile
119598,SBI Bluechip,Large Cap,0.625,0.7498,0.6999,5,100.0
119533,HDFC Top 100,Large Cap,0.5499,0.5002,0.5201,3,66.66666666666666
120503,Axis Bluechip,Large Cap,0.5743,0.3833,0.4597,3,33.33333333333333
119208,HDFC Mid Cap,Mid Cap,0.6358,0.6358,0.6358,3,66.66666666666666
120841,Kotak Emerging,Mid Cap,0.961,1.0914,1.0392,5,100.0
119655,SBI Magnum Mid,Mid Cap,-0.0313,-0.0403,-0.0367,3,33.33333333333333
119251,HDFC Short Term,Debt,0.9191,0.7841,0.8381,3,33.33333333333333
120586,ICICI Savings,Debt,0.8306,0.903,0.874,3,66.66666666666666
119277,Aditya Birla Debt,Debt,2.6923,1.208,1.8017,5,100.0
